Release  Id : 430	County Median Age
B01002001E001001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Autauga County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E040153              Estimate, Median Age by Sex, Total Population (5-year estimate) in Woodward County, OK                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Baker County, OR                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041003              Estimate, Median Age by Sex, Total Population (5-year estimate) in Benton County, OR                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041005              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clackamas County, OR                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041007              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clatsop County, OR                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041009              Estimate, Median Age by Sex, Total Population (5-year estimate) in Columbia County, OR                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041011              Estimate, Median Age by Sex, Total Population (5-year estimate) in Coos County, OR                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041013              Estimate, Median Age by Sex, Total Population (5-year estimate) in Crook County, OR                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041015              Estimate, Median Age by Sex, Total Population (5-year estimate) in Curry County, OR                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041017              Estimate, Median Age by Sex, Total Population (5-year estimate) in Deschutes County, OR                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041019              Estimate, Median Age by Sex, Total Population (5-year estimate) in Douglas County, OR                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041021              Estimate, Median Age by Sex, Total Population (5-year estimate) in Gilliam County, OR                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041023              Estimate, Median Age by Sex, Total Population (5-year estimate) in Grant County, OR                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041025              Estimate, Median Age by Sex, Total Population (5-year estimate) in Harney County, OR                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041027              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hood River County, OR                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041029              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jackson County, OR                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041031              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jefferson County, OR                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041033              Estimate, Median Age by Sex, Total Population (5-year estimate) in Josephine County, OR                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041035              Estimate, Median Age by Sex, Total Population (5-year estimate) in Klamath County, OR                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041037              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lake County, OR                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041039              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lane County, OR                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041041              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lincoln County, OR                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041043              Estimate, Median Age by Sex, Total Population (5-year estimate) in Linn County, OR                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041045              Estimate, Median Age by Sex, Total Population (5-year estimate) in Malheur County, OR                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041047              Estimate, Median Age by Sex, Total Population (5-year estimate) in Marion County, OR                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041049              Estimate, Median Age by Sex, Total Population (5-year estimate) in Morrow County, OR                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041051              Estimate, Median Age by Sex, Total Population (5-year estimate) in Multnomah County, OR                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041053              Estimate, Median Age by Sex, Total Population (5-year estimate) in Polk County, OR                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041055              Estimate, Median Age by Sex, Total Population (5-year estimate) in Sherman County, OR                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041057              Estimate, Median Age by Sex, Total Population (5-year estimate) in Tillamook County, OR                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041059              Estimate, Median Age by Sex, Total Population (5-year estimate) in Umatilla County, OR                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041061              Estimate, Median Age by Sex, Total Population (5-year estimate) in Union County, OR                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041063              Estimate, Median Age by Sex, Total Population (5-year estimate) in Wallowa County, OR                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041065              Estimate, Median Age by Sex, Total Population (5-year estimate) in Wasco County, OR                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041067              Estimate, Median Age by Sex, Total Population (5-year estimate) in Washington County, OR                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041069              Estimate, Median Age by Sex, Total Population (5-year estimate) in Wheeler County, OR                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E041071              Estimate, Median Age by Sex, Total Population (5-year estimate) in Yamhill County, OR                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Adams County, PA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042003              Estimate, Median Age by Sex, Total Population (5-year estimate) in Allegheny County, PA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042005              Estimate, Median Age by Sex, Total Population (5-year estimate) in Armstrong County, PA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042007              Estimate, Median Age by Sex, Total Population (5-year estimate) in Beaver County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042009              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bedford County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042011              Estimate, Median Age by Sex, Total Population (5-year estimate) in Berks County, PA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042013              Estimate, Median Age by Sex, Total Population (5-year estimate) in Blair County, PA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042015              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bradford County, PA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042017              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bucks County, PA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042019              Estimate, Median Age by Sex, Total Population (5-year estimate) in Butler County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042021              Estimate, Median Age by Sex, Total Population (5-year estimate) in Cambria County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042023              Estimate, Median Age by Sex, Total Population (5-year estimate) in Cameron County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042025              Estimate, Median Age by Sex, Total Population (5-year estimate) in Carbon County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042027              Estimate, Median Age by Sex, Total Population (5-year estimate) in Centre County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042029              Estimate, Median Age by Sex, Total Population (5-year estimate) in Chester County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042031              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clarion County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042033              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clearfield County, PA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042035              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clinton County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042037              Estimate, Median Age by Sex, Total Population (5-year estimate) in Columbia County, PA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042039              Estimate, Median Age by Sex, Total Population (5-year estimate) in Crawford County, PA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042041              Estimate, Median Age by Sex, Total Population (5-year estimate) in Cumberland County, PA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042043              Estimate, Median Age by Sex, Total Population (5-year estimate) in Dauphin County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042045              Estimate, Median Age by Sex, Total Population (5-year estimate) in Delaware County, PA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042047              Estimate, Median Age by Sex, Total Population (5-year estimate) in Elk County, PA                                          NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042049              Estimate, Median Age by Sex, Total Population (5-year estimate) in Erie County, PA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042051              Estimate, Median Age by Sex, Total Population (5-year estimate) in Fayette County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042053              Estimate, Median Age by Sex, Total Population (5-year estimate) in Forest County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042055              Estimate, Median Age by Sex, Total Population (5-year estimate) in Franklin County, PA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042057              Estimate, Median Age by Sex, Total Population (5-year estimate) in Fulton County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042059              Estimate, Median Age by Sex, Total Population (5-year estimate) in Greene County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042061              Estimate, Median Age by Sex, Total Population (5-year estimate) in Huntingdon County, PA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042063              Estimate, Median Age by Sex, Total Population (5-year estimate) in Indiana County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042065              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jefferson County, PA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042067              Estimate, Median Age by Sex, Total Population (5-year estimate) in Juniata County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042069              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lackawanna County, PA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042071              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lancaster County, PA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042073              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lawrence County, PA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042075              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lebanon County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042077              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lehigh County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042079              Estimate, Median Age by Sex, Total Population (5-year estimate) in Luzerne County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042081              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lycoming County, PA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042083              Estimate, Median Age by Sex, Total Population (5-year estimate) in McKean County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042085              Estimate, Median Age by Sex, Total Population (5-year estimate) in Mercer County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042087              Estimate, Median Age by Sex, Total Population (5-year estimate) in Mifflin County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042089              Estimate, Median Age by Sex, Total Population (5-year estimate) in Monroe County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042091              Estimate, Median Age by Sex, Total Population (5-year estimate) in Montgomery County, PA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042093              Estimate, Median Age by Sex, Total Population (5-year estimate) in Montour County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042095              Estimate, Median Age by Sex, Total Population (5-year estimate) in Northampton County, PA                                  NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042097              Estimate, Median Age by Sex, Total Population (5-year estimate) in Northumberland County, PA                               NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042099              Estimate, Median Age by Sex, Total Population (5-year estimate) in Perry County, PA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042101              Estimate, Median Age by Sex, Total Population (5-year estimate) in Philadelphia County, PA                                 NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042103              Estimate, Median Age by Sex, Total Population (5-year estimate) in Pike County, PA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042105              Estimate, Median Age by Sex, Total Population (5-year estimate) in Potter County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042107              Estimate, Median Age by Sex, Total Population (5-year estimate) in Schuylkill County, PA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042109              Estimate, Median Age by Sex, Total Population (5-year estimate) in Snyder County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042111              Estimate, Median Age by Sex, Total Population (5-year estimate) in Somerset County, PA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042113              Estimate, Median Age by Sex, Total Population (5-year estimate) in Sullivan County, PA                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042115              Estimate, Median Age by Sex, Total Population (5-year estimate) in Susquehanna County, PA                                  NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042117              Estimate, Median Age by Sex, Total Population (5-year estimate) in Tioga County, PA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042119              Estimate, Median Age by Sex, Total Population (5-year estimate) in Union County, PA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042121              Estimate, Median Age by Sex, Total Population (5-year estimate) in Venango County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042123              Estimate, Median Age by Sex, Total Population (5-year estimate) in Warren County, PA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042125              Estimate, Median Age by Sex, Total Population (5-year estimate) in Washington County, PA                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042127              Estimate, Median Age by Sex, Total Population (5-year estimate) in Wayne County, PA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042129              Estimate, Median Age by Sex, Total Population (5-year estimate) in Westmoreland County, PA                                 NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042131              Estimate, Median Age by Sex, Total Population (5-year estimate) in Wyoming County, PA                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E042133              Estimate, Median Age by Sex, Total Population (5-year estimate) in York County, PA                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E044001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bristol County, RI                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E044003              Estimate, Median Age by Sex, Total Population (5-year estimate) in Kent County, RI                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E044005              Estimate, Median Age by Sex, Total Population (5-year estimate) in Newport County, RI                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E044007              Estimate, Median Age by Sex, Total Population (5-year estimate) in Providence County, RI                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E044009              Estimate, Median Age by Sex, Total Population (5-year estimate) in Washington County, RI                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Abbeville County, SC                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045003              Estimate, Median Age by Sex, Total Population (5-year estimate) in Aiken County, SC                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045005              Estimate, Median Age by Sex, Total Population (5-year estimate) in Allendale County, SC                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045007              Estimate, Median Age by Sex, Total Population (5-year estimate) in Anderson County, SC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045009              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bamberg County, SC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045011              Estimate, Median Age by Sex, Total Population (5-year estimate) in Barnwell County, SC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045013              Estimate, Median Age by Sex, Total Population (5-year estimate) in Beaufort County, SC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045015              Estimate, Median Age by Sex, Total Population (5-year estimate) in Berkeley County, SC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045017              Estimate, Median Age by Sex, Total Population (5-year estimate) in Calhoun County, SC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045019              Estimate, Median Age by Sex, Total Population (5-year estimate) in Charleston County, SC                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045021              Estimate, Median Age by Sex, Total Population (5-year estimate) in Cherokee County, SC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045023              Estimate, Median Age by Sex, Total Population (5-year estimate) in Chester County, SC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045025              Estimate, Median Age by Sex, Total Population (5-year estimate) in Chesterfield County, SC                                 NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045027              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clarendon County, SC                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045029              Estimate, Median Age by Sex, Total Population (5-year estimate) in Colleton County, SC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045031              Estimate, Median Age by Sex, Total Population (5-year estimate) in Darlington County, SC                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045033              Estimate, Median Age by Sex, Total Population (5-year estimate) in Dillon County, SC                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045035              Estimate, Median Age by Sex, Total Population (5-year estimate) in Dorchester County, SC                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045037              Estimate, Median Age by Sex, Total Population (5-year estimate) in Edgefield County, SC                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045039              Estimate, Median Age by Sex, Total Population (5-year estimate) in Fairfield County, SC                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045041              Estimate, Median Age by Sex, Total Population (5-year estimate) in Florence County, SC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045043              Estimate, Median Age by Sex, Total Population (5-year estimate) in Georgetown County, SC                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045045              Estimate, Median Age by Sex, Total Population (5-year estimate) in Greenville County, SC                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045047              Estimate, Median Age by Sex, Total Population (5-year estimate) in Greenwood County, SC                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045049              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hampton County, SC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045051              Estimate, Median Age by Sex, Total Population (5-year estimate) in Horry County, SC                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045053              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jasper County, SC                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045055              Estimate, Median Age by Sex, Total Population (5-year estimate) in Kershaw County, SC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045057              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lancaster County, SC                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045059              Estimate, Median Age by Sex, Total Population (5-year estimate) in Laurens County, SC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045061              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lee County, SC                                          NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045063              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lexington County, SC                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045065              Estimate, Median Age by Sex, Total Population (5-year estimate) in McCormick County, SC                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045067              Estimate, Median Age by Sex, Total Population (5-year estimate) in Marion County, SC                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045069              Estimate, Median Age by Sex, Total Population (5-year estimate) in Marlboro County, SC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045071              Estimate, Median Age by Sex, Total Population (5-year estimate) in Newberry County, SC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045073              Estimate, Median Age by Sex, Total Population (5-year estimate) in Oconee County, SC                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045075              Estimate, Median Age by Sex, Total Population (5-year estimate) in Orangeburg County, SC                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045077              Estimate, Median Age by Sex, Total Population (5-year estimate) in Pickens County, SC                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045079              Estimate, Median Age by Sex, Total Population (5-year estimate) in Richland County, SC                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045081              Estimate, Median Age by Sex, Total Population (5-year estimate) in Saluda County, SC                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045083              Estimate, Median Age by Sex, Total Population (5-year estimate) in Spartanburg County, SC                                  NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045085              Estimate, Median Age by Sex, Total Population (5-year estimate) in Sumter County, SC                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045087              Estimate, Median Age by Sex, Total Population (5-year estimate) in Union County, SC                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045089              Estimate, Median Age by Sex, Total Population (5-year estimate) in Williamsburg County, SC                                 NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E045091              Estimate, Median Age by Sex, Total Population (5-year estimate) in York County, SC                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046003              Estimate, Median Age by Sex, Total Population (5-year estimate) in Aurora County, SD                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046005              Estimate, Median Age by Sex, Total Population (5-year estimate) in Beadle County, SD                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046007              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bennett County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046009              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bon Homme County, SD                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046011              Estimate, Median Age by Sex, Total Population (5-year estimate) in Brookings County, SD                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046013              Estimate, Median Age by Sex, Total Population (5-year estimate) in Brown County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046015              Estimate, Median Age by Sex, Total Population (5-year estimate) in Brule County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046017              Estimate, Median Age by Sex, Total Population (5-year estimate) in Buffalo County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046019              Estimate, Median Age by Sex, Total Population (5-year estimate) in Butte County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046021              Estimate, Median Age by Sex, Total Population (5-year estimate) in Campbell County, SD                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046023              Estimate, Median Age by Sex, Total Population (5-year estimate) in Charles Mix County, SD                                  NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046025              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clark County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046027              Estimate, Median Age by Sex, Total Population (5-year estimate) in Clay County, SD                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046029              Estimate, Median Age by Sex, Total Population (5-year estimate) in Codington County, SD                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046031              Estimate, Median Age by Sex, Total Population (5-year estimate) in Corson County, SD                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046033              Estimate, Median Age by Sex, Total Population (5-year estimate) in Custer County, SD                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046035              Estimate, Median Age by Sex, Total Population (5-year estimate) in Davison County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046037              Estimate, Median Age by Sex, Total Population (5-year estimate) in Day County, SD                                          NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046039              Estimate, Median Age by Sex, Total Population (5-year estimate) in Deuel County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046041              Estimate, Median Age by Sex, Total Population (5-year estimate) in Dewey County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046043              Estimate, Median Age by Sex, Total Population (5-year estimate) in Douglas County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046045              Estimate, Median Age by Sex, Total Population (5-year estimate) in Edmunds County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046047              Estimate, Median Age by Sex, Total Population (5-year estimate) in Fall River County, SD                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046049              Estimate, Median Age by Sex, Total Population (5-year estimate) in Faulk County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046051              Estimate, Median Age by Sex, Total Population (5-year estimate) in Grant County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046053              Estimate, Median Age by Sex, Total Population (5-year estimate) in Gregory County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046055              Estimate, Median Age by Sex, Total Population (5-year estimate) in Haakon County, SD                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046057              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hamlin County, SD                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046059              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hand County, SD                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046061              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hanson County, SD                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046063              Estimate, Median Age by Sex, Total Population (5-year estimate) in Harding County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046065              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hughes County, SD                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046067              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hutchinson County, SD                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046069              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hyde County, SD                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046071              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jackson County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
